pdb_id,pep_identity,mhc_identity,total_identity
3hpj,33.3333333333,100.0,66.6666666667
5enw,33.3333333333,100.0,66.6666666667
1qsf,33.3333333333,100.0,66.6666666667
1s8d,22.2222222222,100.0,61.1111111111
3i6g,22.2222222222,100.0,61.1111111111
1s9w,22.2222222222,100.0,61.1111111111
4o2c,33.3333333333,82.1229050279,57.7281191806
5iek,33.3333333333,82.1229050279,57.7281191806
1zt7,44.4444444444,70.3910614525,57.4177529485
5f1i,33.3333333333,80.0,56.6666666667
3pwl,11.1111111111,100.0,55.5555555556
1hhg,11.1111111111,100.0,55.5555555556
5mep,11.1111111111,100.0,55.5555555556
5e00,11.1111111111,100.0,55.5555555556
3d25,11.1111111111,100.0,55.5555555556
